Periodo,Categoria,Comuna,Propuesta,Votos,lat,lng,color
2017,Plazas y parques,Comuna 1,Seguridad y salud,153,-34.6132,-58.3779,#85E45D
2017,Ferias y Mercados,Comuna 1,Creaci?n mercado central en retiro,217,-34.5902,-58.3729,#9573D9
2017,Movilidad y transito,Comuna 1,Seguridad peatonal y vehicular en cruce av san juan y av nueve de julio,307,-34.622,-58.381,#86A0DB
2017,Deportes y calidad de vida,Comuna 1,Yoga en los parques,263,-34.6009,-58.3845,#9DDBDF
2017,Ferias y Mercados,Comuna 1,Horario de las ferias,148,-34.616,-58.3732,#9573D9
2017,Arte urbano,Comuna 1,Mural en chacabuco al 800,93,-34.6174,-58.3732,BB45E0
2017,Movilidad y transito,Comuna 1,Lugares para dejar la bicicleta,207,-34.6143,-58.3773,#86A0DB
2017,Plazas y parques,Comuna 1,Iluminacion para la plazoleta de monserrat,140,-34.6196,-58.3975,#85E45D
2017,Plazas y parques,Comuna 1,Equipamiento de gimnasia reserva costanera sur,157,-34.6083,-58.3542,#85E45D
2017,Movilidad y transito,Comuna 1,Se?alizacion electronica paradas de colectivos,368,-34.6163,-58.3793,#86A0DB
2017,Innovacion,Comuna 1,Wifi en la plaza dos congresos,184,-34.6098,-58.3892,#DAB6CB
2017,Cultura,Comuna 1,Lezama cultural,172,-34.6266,-58.3705,#87E2A8
2017,Ferias y Mercados,Comuna 1,Ferias para consumo en congreso,159,-34.6099,-58.3914,#9573D9
2017,Reciclado,Comuna 1,Mas puntos de Reciclado,248,-34.6086,-58.3821,#7B9787
2017,Deportes y calidad de vida,Comuna 1,Campa?a voluntaria,107,-34.6086,-58.3749,#9DDBDF
2017,Ferias y Mercados,Comuna 1,Feria de organicos en retiro,185,-34.5903,-58.372,#9573D9
2017,Movilidad y transito,Comuna 1,Arreglo de ve#E06658as,194,-34.6159,-58.383,#86A0DB
2017,Movilidad y transito,Comuna 1,Mayor cantidad de puntos de ecobicis,178,-34.6093,-58.3803,#86A0DB
2017,Innovacion,Comuna 1,Wifi,282,-34.6038,-58.3825,#DAB6CB
2017,Reciclado,Comuna 1,Limpieza semanal a los contenedores,391,-34.6238,-58.4956,#7B9787
2017,Deportes y calidad de vida,Comuna 1,Clases deportivas voluntarias,247,-34.6004,-58.3853,#9DDBDF
2017,Arte urbano,Comuna 1,Proyecto persiana,220,-34.6103,-58.3773,BB45E0
2018,Plazas y parques,Comuna 1,Plaza Constitucion mas activa,234,-34.6258,-58.3816,#85E45D
2018,Movilidad y transito,Comuna 1,Arreglo de ve#E06658a en Bartolome Mitre al 1500,118,-34.6078,-58.3878,#86A0DB
2018,Plazas y parques,Comuna 1,Plaza para ni?os! No para perros,124,-34.591,-58.3826,#85E45D
2018,Seguridad,Comuna 1,Mas Seguridad  en el barrio de constitucion,238,-34.625,-58.3852,#E06658
2018,Movilidad y transito,Comuna 1,Puesta en valor de la zona teatro san martin,167,-34.6043,-58.3887,#86A0DB
2018,Plazas y parques,Comuna 1,Remodelacion Plazoleta Juan Carlos Castagnino,106,-34.6243,-58.3729,#85E45D
2018,Seguridad,Comuna 1,Mas Seguridad en constitucion!,262,-34.6261,-58.3819,#E06658
2018,Movilidad y transito,Comuna 1,arreglo de ve#E06658as,173,-34.6042,-58.3891,#86A0DB
2018,Seguridad,Comuna 1,Camaras de Seguridad en Microcentro,305,-34.5995,-58.3753,#E06658
2018,Seguridad,Comuna 1,camaras de Seguridad,241,-34.6023,-58.3761,#E06658
2018,Movilidad y transito,Comuna 1,Arreglo de ve#E06658as,109,-34.6103,-58.3753,#86A0DB
2018,Movilidad y transito,Comuna 1,Control de taxis en la estacion retiro,184,-34.5908,-58.374,#86A0DB
2018,Seguridad,Comuna 1,Camaras de Seguridad e iluminacion en San Telmo,333,-34.6208,-58.3732,#E06658
2018,Movilidad y transito,Comuna 1,Arreglo de ve#E06658as en Esmeralda y Santa Fe,76,-34.5951,-58.3786,#86A0DB
2018,Movilidad y transito,Comuna 1,Zona teatro San Martin,72,-34.6042,-58.3882,#86A0DB
2018,Seguridad,Comuna 1,camaras de Seguridad,192,-34.6085,-58.3811,#E06658
2018,Seguridad,Comuna 1,Seguridad,209,-34.6086,-58.3739,#E06658
2018,Seguridad,Comuna 1,Camaras de Seguridad,201,-34.6096,-58.387,#E06658
2018,Movilidad y transito,Comuna 1,ve#E06658as,88,-34.6081,-58.3765,#86A0DB
2018,Seguridad,Comuna 1,Camaras de Seguridad en Constitucion,229,-34.625,-58.3864,#E06658
2018,Movilidad y transito,Comuna 1,Mas Seguridad,262,-34.6222,-58.374,#86A0DB
2018,Seguridad,Comuna 1,Camaras de Seguridad,179,-34.6208,-58.3714,#E06658
2018,Seguridad,Comuna 1,camaars de Seguridad en el barrio de Constitucion,176,-34.6236,-58.3849,#E06658
2018,Seguridad,Comuna 1,Camaras de Seguridad en Montserrat,278,-34.613,-58.3775,#E06658
2018,Arte urbano,Comuna 1,Murales en la Plaza Monserrat,130,-34.6077,-58.3785,BB45E0
2018,Seguridad,Comuna 1,Seguridad,209,-34.6197,-58.3686,#E06658
2018,Movilidad y transito,Comuna 1,Mantenimiento de rampa en Solis y Belgrano,103,-34.6138,-58.3903,#86A0DB
2018,Movilidad y transito,Comuna 1,Semaforo para ciegos en la Estacion Constitucion,245,-34.6296,-58.3807,#86A0DB
2019,Movilidad y transito,Comuna 1,iluminacion en av san juan y 9 de julio y al#E06658edores,131,-34.6223,-58.3809,#86A0DB
2019,Seguridad,Comuna 1,Seguridad Constante barrio de constitucion,169,-34.625,-58.3822,#E06658
2019,Seguridad,Comuna 1,Seguridad,134,-34.6174,-58.3731,#E06658
2019,Plazas y parques,Comuna 1,iluminar la plaza congreso,106,-34.6097,-58.3903,#85E45D
2019,Innovacion,Comuna 1,Cargadores para celular,153,-34.6092,-58.381,#DAB6CB
2019,Seguridad,Comuna 1,Camaras de Seguridad en comuna 1,182,-34.6132,-58.3818,#E06658
2017,Plazas y parques,Comuna 10,Plantacion de arboles,230,-34.6182,-58.4978,#85E45D
2017,Movilidad y transito,Comuna 10,Se?alizacion electronica paradas de colectivos,379,-34.6251,-58.4941,#86A0DB
2017,Movilidad y transito,Comuna 10,Bicicendas en la comuna 10,164,-34.6199,-58.5061,#86A0DB
2017,Plazas y parques,Comuna 10,Iluminacion en plaza san pedro,166,-34.6262,-58.5083,#85E45D
2017,Mascotas,Comuna 10,Dispenser de eco bolsas para mascotas,254,-34.626,-58.5084,#D6D45C
2017,Plazas y parques,Comuna 10,Mas iluminacion en la plaza dr juan b teran,199,-34.6205,-58.5194,#85E45D
2017,Reciclado,Comuna 10,Contenedor es de Reciclados,194,-34.6212,-58.4985,#7B9787
2017,Deportes y calidad de vida,Comuna 10,Actividades en plazas y parques,363,-34.6184,-58.4974,#9DDBDF
2017,Movilidad y transito,Comuna 10,Semaforo en bruselas y simbron,230,-34.6213,-58.5275,#86A0DB
2017,Deportes y calidad de vida,Comuna 10,Campa?a voluntaria,207,-34.6177,-58.5055,#9DDBDF
2017,Innovacion,Comuna 10,Torre de wifi en pza velez sarsfield,180,-34.63,-58.483,#DAB6CB
2017,Ferias y Mercados,Comuna 10,Productos organicos,196,-34.6245,-58.5037,#9573D9
2017,Plazas y parques,Comuna 10,Luminarias en pza velez sarsfield,191,-34.63,-58.4829,#85E45D
2017,Movilidad y transito,Comuna 10,Reordenamien to vehicular,274,-34.6186,-58.50011796,#86A0DB
2018,Arte urbano,Comuna 10,Mural decorativo,151,-34.6318,-58.4834,BB45E0
2018,Plazas y parques,Comuna 10,Plaza en Bacacay y Bermudez,106,-34.6344,-58.4942,#85E45D
2018,Cultura,Comuna 10,Conocer a que se debe el nombre de las calles y avenidas,174,-34.6235,-58.4968,#87E2A8
2018,Seguridad,Comuna 10,Seguridad,414,-34.6233,-58.5044,#E06658
2018,Movilidad y transito,Comuna 10,Arreglar ve#E06658as,233,-34.6234,-58.5105,#86A0DB
2018,Seguridad,Comuna 10,Camaras de Seguridad en Monte Castro,325,-34.6183,-58.5057,#E06658
2018,Mascotas,Comuna 10,Canil recreativo para mascotas,102,-34.6185,-58.4975,#D6D45C
2018,Plazas y parques,Comuna 10,mesas y caniles parque Ejercito de los Andes,103,-34.6395,-58.5092,#85E45D
2018,Seguridad,Comuna 10,Seguridad en Velez Sarsfield  Sarachaga y Belen,266,-34.6311,-58.4894,#E06658
2018,Seguridad,Comuna 10,Camaras de Seguridad,277,-34.63,-58.5025,#E06658
2018,Movilidad y transito,Comuna 10,Colocar una senda peatonal en Arregui y Bermudez,175,-34.6196,-58.5094,#86A0DB
2018,Seguridad,Comuna 10,camaras de Seguridad  Avenida Segurola,322,-34.6189,-58.5013,#E06658
2018,Mascotas,Comuna 10,Carteles para los due?os de mascotas se??alizar la Plaza Velez Sarfield,114,-34.6301,-58.4829,#D6D45C
2018,Seguridad,Comuna 10,camaras de Seguridad,186,-34.6212,-58.49712,#E06658
2018,Seguridad,Comuna 10,CAMARAS DE Seguridad,380,-34.6183,-58.5057,#E06658
2018,Movilidad y transito,Comuna 10,Refugio de parada de colectivos en Bermudez y Arregui,130,-34.6195,-58.5095,#86A0DB
2018,Seguridad,Comuna 10,CAMARAS DE Seguridad alles Ramon Falcon y Rafaela,219,-34.6355,-58.4828,#E06658
