Apoyos,Votos,Comuna,Year,Categoria,Viabilidad
1620,1024,Comuna 9,2017',Plazas y parques,Viable
18,852,Comuna 13,2017',Plazas y parques,Viable
8,651,Comuna 13,2017',Movilidad y transito,Viable
891,615,Comuna 12,2017',Plazas y parques,Viable
6,610,Comuna 14,2017',Movilidad y transito,Viable
7,601,Comuna 2,2017',Movilidad y transito,Viable
7,530,Comuna 6,2017',Movilidad y transito,Viable
924,522,Comuna 12,2017',Reciclado,Viable
428,519,Comuna 6,2017',Plazas y parques,Viable
9,513,Comuna 6,2017',Movilidad y transito,Viable
70,511,Comuna 11,2017',Educacion,Viable
12,510,Comuna 13,2017',Ferias y Mercados,Viable
2,509,Comuna 13,2017',Innovacion,Viable
9,497,Comuna 11,2017',Movilidad y transito,Viable
55,489,Comuna 13,2017',Educacion,Viable
24,486,Comuna 5,2017',Movilidad y transito,Viable
4,486,Comuna 11,2017',Plazas y parques,Viable
14,413,Comuna 5,2017',Plazas y parques,Inviable
16,485,Comuna 13,2017',Educacion,Viable
9,483,Comuna 12,2017',Movilidad y transito,Viable
5,479,Comuna 6,2017',Plazas y parques,Viable
9,469,Comuna 2,2017',Deportes y calidad de vida,Viable
7,469,Comuna 12,2017',Movilidad y transito,Viable
8,466,Comuna 5,2017',Movilidad y transito,Viable
6,461,Comuna 2,2017',Educacion,Viable
10,457,Comuna 11,2017',Educacion,Viable
12,455,Comuna 13,2017',Educacion,Viable
6,445,Comuna 7,2017',Movilidad y transito,Viable
5,439,Comuna 14,2017',Plazas y parques,Viable
5,433,Comuna 13,2017',Educacion,Viable
10,432,Comuna 2,2017',Ferias y Mercados,Viable
39,431,Comuna 12,2017',Cultura,Viable
8,431,Comuna 13,2017',Reciclado,Viable
8,424,Comuna 11,2017',Reciclado,Viable
8,311,Comuna 5,2017',Plazas y parques,Sin decidir
4,418,Comuna 13,2017',Movilidad y transito,Viable
16,417,Comuna 12,2017',Movilidad y transito,Viable
8,416,Comuna 13,2017',Reciclado,Viable
9,413,Comuna 6,2017',Reciclado,Viable
38,412,Comuna 2,2017',Educacion,Viable
6,411,Comuna 13,2017',Deportes y calidad de vida,Viable
14,407,Comuna 11,2017',Movilidad y transito,Viable
7,402,Comuna 11,2017',Plazas y parques,Viable
146,400,Comuna 9,2017',Plazas y parques,Viable
5,399,Comuna 6,2017',Plazas y parques,Viable
14,397,Comuna 13,2017',Cultura,Viable
9,395,Comuna 6,2017',Deportes y calidad de vida,Viable
12,393,Comuna 6,2017',Ferias y Mercados,Viable
6,392,Comuna 2,2017',Reciclado,Viable
43,389,Comuna 15,2017',Movilidad y transito,Viable
5,388,Comuna 13,2017',Educacion,Viable
9,387,Comuna 3,2017',Plazas y parques,Viable
203,386,Comuna 13,2017',Movilidad y transito,Viable
10,383,Comuna 5,2017',Arte urbano,Viable
9,380,Comuna 15,2017',Movilidad y transito,Viable
3,379,Comuna 6,2017',Movilidad y transito,Viable
16,379,Comuna 10,2017',Movilidad y transito,Viable
13,377,Comuna 12,2017',Movilidad y transito,Viable
3,368,Comuna 1,2017',Movilidad y transito,Viable
53,363,Comuna 4,2017',Plazas y parques,Viable
8,363,Comuna 10,2017',Deportes y calidad de vida,Viable
2,363,Comuna 13,2017',Deportes y calidad de vida,Viable
9,362,Comuna 6,2017',Plazas y parques,Viable
13,361,Comuna 3,2017',Movilidad y transito,Viable
5,361,Comuna 11,2017',Plazas y parques,Viable
8,359,Comuna 11,2017',Deportes y calidad de vida,Viable
11,358,Comuna 2,2017',Plazas y parques,Viable
118,355,Comuna 14,2017',Plazas y parques,Viable
12,355,Comuna 7,2017',Deportes y calidad de vida,Viable
202,353,Comuna 6,2017',Plazas y parques,Viable
2,352,Comuna 2,2017',Movilidad y transito,Viable
9,349,Comuna 3,2017',Movilidad y transito,Viable
8,447,Comuna 13,2017',Reciclado,Inviable
6,348,Comuna 4,2017',Movilidad y transito,Viable
17,346,Comuna 14,2017',Movilidad y transito,Viable
3,346,Comuna 13,2017',Deportes y calidad de vida,Viable
9,345,Comuna 3,2017',Movilidad y transito,Viable
1,344,Comuna 2,2017',Ferias y Mercados,Viable
5,336,Comuna 5,2017',Innovacion,Viable
13,336,Comuna 13,2017',Educacion,Viable
7,335,Comuna 14,2017',Reciclado,Viable
7,334,Comuna 7,2017',Reciclado,Viable
8,328,Comuna 11,2017',Ferias y Mercados,Viable
10,327,Comuna 8,2017',Deportes y calidad de vida,Viable
4,327,Comuna 11,2017',Movilidad y transito,Viable
13,327,Comuna 12,2017',Cultura,Viable
5,324,Comuna 3,2017',Plazas y parques,Viable
7,323,Comuna 7,2017',Deportes y calidad de vida,Viable
4,322,Comuna 12,2017',Movilidad y transito,Viable
95,320,Comuna 8,2017',Movilidad y transito,Viable
51,317,Comuna 12,2017',Educacion,Viable
4,316,Comuna 5,2017',Educacion,Viable
3,315,Comuna 12,2017',Deportes y calidad de vida,Viable
24,314,Comuna 6,2017',Ferias y Mercados,Viable
62,314,Comuna 3,2017',Educacion,Viable
9,313,Comuna 14,2017',Movilidad y transito,Viable
4,310,Comuna 2,2017',Plazas y parques,Viable
18,310,Comuna 12,2017',Innovacion,Viable
4,310,Comuna 2,2017',Deportes y calidad de vida,Viable
5,308,Comuna 14,2017',Plazas y parques,Viable
1,307,Comuna 1,2017',Movilidad y transito,Viable
6,307,Comuna 2,2017',Reciclado,Viable
4,306,Comuna 2,2017',Ferias y Mercados,Viable
8,305,Comuna 14,2017',Deportes y calidad de vida,Viable
9,303,Comuna 12,2017',Reciclado,Viable
5,302,Comuna 5,2017',Deportes y calidad de vida,Viable
5,301,Comuna 14,2017',Movilidad y transito,Viable
4,302,Comuna 15,2017',Plazas y parques,Inviable
1,301,Comuna 13,2017',Innovacion,Viable
12,300,Comuna 7,2017',Plazas y parques,Viable
3,300,Comuna 12,2017',Deportes y calidad de vida,Viable
11,299,Comuna 2,2017',Ferias y Mercados,Viable
7,298,Comuna 2,2017',Plazas y parques,Viable
7,297,Comuna 5,2017',Plazas y parques,Viable
6,296,Comuna 11,2017',Reciclado,Viable
9,296,Comuna 14,2017',Deportes y calidad de vida,Viable
8,296,Comuna 14,2017',Mascotas,Viable
8,295,Comuna 4,2017',Educacion,Viable
10,294,Comuna 6,2017',Educacion,Viable
0,294,Comuna 14,2017',Innovacion,Viable
16,294,Comuna 7,2017',Plazas y parques,Viable
5,294,Comuna 2,2017',Movilidad y transito,Viable
25,293,Comuna 9,2017',Plazas y parques,Viable
4,293,Comuna 5,2017',Plazas y parques,Viable
77,293,Comuna 15,2017',Plazas y parques,Viable
15,292,Comuna 15,2017',Reciclado,Viable
9,291,Comuna 1,2017',Reciclado,Viable
5,288,Comuna 5,2017',Deportes y calidad de vida,Viable
7,287,Comuna 4,2017',Deportes y calidad de vida,Viable
8,287,Comuna 9,2017',Deportes y calidad de vida,Viable
4,285,Comuna 5,2017',Ferias y Mercados,Viable
5,284,Comuna 4,2017',Plazas y parques,Viable
2,283,Comuna 8,2017',Movilidad y transito,Viable
17,283,Comuna 7,2017',Movilidad y transito,Viable
