Periodo,titulo,cantidad,Comuna,Categoria,lat,lng,tipo,id
2018,Restaurar la Pista de Atletismo del parque Avellaneda,817,Comuna 9,Deportes y calidad de vida,-34.6454,-58.4773,Votos,1
2018,"Aumentar seguridad en caballito

",679,Comuna 6,Seguridad,-34.6194,-58.442,Votos,2
2018,Video vigilancia en Caballito Acoyte y Rivadavia ,613,Comuna 6,Seguridad,-34.6184,-58.4364,Votos,3
2017,Circuito en Parque Avellaneda con luminarias bebederso y postas.,1024,Comuna 9,Plazas y parques,-34.6433,-58.48,Votos,4
2017,Uso de paneles solares en Barrancas de Belgrano,852,Comuna 13,Plazas y parques,-34.5608,-58.4486,Votos,5
2017,Paradas digitales de colectivos en lineas de la comuna 13,651,Comuna 13,Movilidad y transito,-34.5486,-58.4626,Votos,6
2019,Corredor Aerobico Parque Centenario,275,Comuna 6,Deportes y calidad de vida,-34.6057,-58.4358,Votos,7
2019,Hidro puntos en Parque Centenario,275,Comuna 6,Innovacion,-34.606,-58.4346,Votos,8
2019,Corredor Aerobico Parque Chacabuco,232,Comuna 7,Deportes y calidad de vida,-34.6342,-58.4425,Votos,9
2018,Restarurar la Pista de atletismo del Parque Avellaneda,1233,Comuna 9,Deportes y calidad de vida,-34.6459,-58.4801,Apoyos,1
2018,Construir una parada para el Tramway Historico de Buenos Aires cerca de la calle Emilio Mitre esquina Jose Bonifacio,360,Comuna 6,Cultura,-34.6284,-58.4428,Apoyos,2
2018,Semaforo en Av Bilbao y Pergamino,308,Comuna 9,Movilidad y transito,-34.642,-58.4703,Apoyos,3
2017,Subtes nocturnos hasta las 12 am,2291,Comuna 12,Movilidad y transito,-34.5738,-58.4872,Apoyos,4
2017,Circuito Aerobico Parque Avellaneda,1620,Comuna 9,Plazas y parques,-34.6468,-58.4779,Apoyos,5
2017,Dispensador de alimento para perros/gatos callejeros en comuna 9,1522,Comuna 9,Mascotas,-34.6577,-58.5008,Apoyos,6
2019,Cancha de futbol sobre Avenida Lacarra en el polideportivo,191,Comuna 9,Plazas y parques,-34.6466,-58.4744,Apoyos,7
2019,Rstaurar la cancha de futbol 9 dentro del Polideportivo Parque Avellaneda,180,Comuna 9,Deportes y calidad de vida,-34.645,-58.4761,Apoyos,8
2019,Circuito de ciclismo en Parque Avellaneda,177,Comuna 9,Deportes y calidad de vida,-34.6446,-58.4794,Apoyos,9
