Periodo,Categoria,Comuna,Propuesta,Votos,lat,lng
2017,Plazas y parques,Comuna 1,Seguridad y salud,153,-34.6163,-58.3803
2017,Ferias y Mercados,Comuna 1,Creaci?n mercado central en retiro,217,-34.6073,-58.3753
2017,Movilidad y transito,Comuna 1,Seguridad peatonal y vehicular en cruce av san juan y av nueve de julio,307,-34.6113,-58.3763
2017,Deportes y calidad de vida,Comuna 1,Yoga en los parques,263,-34.6093,-58.3753
2017,Ferias y Mercados,Comuna 1,Horario de las ferias,148,-34.6123,-58.3793
2017,Arte urbano,Comuna 1,Mural en chacabuco al 800,93,-34.6073,-58.3783
2017,Movilidad y transito,Comuna 1,Lugares para dejar la bicicleta,207,-34.6143,-58.3773
2017,Plazas y parques,Comuna 1,Iluminacion para la plazoleta de monserrat,140,-34.6083,-58.3713
2017,Plazas y parques,Comuna 1,Equipamiento de gimnasia reserva costanera sur,157,-34.6113,-58.3733
2017,Movilidad y transito,Comuna 1,Se?alizacion electronica paradas de colectivos,368,-34.6163,-58.3793
2017,Innovacion,Comuna 1,Wifi en la plaza dos congresos,184,-34.6153,-58.3773
2017,Cultura,Comuna 1,Lezama cultural,172,-34.6073,-58.3753
2017,Ferias y Mercados,Comuna 1,Ferias para consumo en congreso,159,-34.6103,-58.3773
2017,Reciclado,Comuna 1,Mas puntos de reciclado,248,-34.6163,-58.3783
2017,Deportes y calidad de vida,Comuna 1,Campa?a voluntaria,107,-34.6093,-58.3733
2017,Ferias y Mercados,Comuna 1,Feria de organicos en retiro,185,-34.6133,-58.3723
2017,Movilidad y transito,Comuna 1,Arreglo de veredas,194,-34.6153,-58.3773
2017,Movilidad y transito,Comuna 1,Mayor cantidad de puntos de ecobicis,178,-34.6093,-58.3803
2017,Innovacion,Comuna 1,Wifi,282,-34.6163,-58.3803
2017,Reciclado,Comuna 1,Limpieza semanal a los contenedores,391,-34.6123,-58.3783
2017,Deportes y calidad de vida,Comuna 1,Clases deportivas voluntarias,247,-34.6153,-58.3743
2017,Arte urbano,Comuna 1,Proyecto persiana,220,-34.6103,-58.3773
2018,Plazas y parques,Comuna 1,Plaza Constitucion mas activa,234,-34.6163,-58.3763
2018,Movilidad y transito,Comuna 1,Arreglo de vereda en Bartolome Mitre al 1500,118,-34.6143,-58.3773
2018,Plazas y parques,Comuna 1,Plaza para ni?os! No para perros,124,-34.6083,-58.3753
2018,Seguridad,Comuna 1,Mas seguridad,238,-34.6103,-58.3733
2018,Movilidad y transito,Comuna 1,Puesta en valor de la zona teatro san martin,167,-34.6093,-58.3803
2018,Plazas y parques,Comuna 1,Remodelacion Plazoleta Juan Carlos Castagnino,106,-34.6123,-58.3773
2018,Seguridad,Comuna 1,Mas seguridad en constitucion!,262,-34.6123,-58.3753
2018,Movilidad y transito,Comuna 1,arreglo de veredas,173,-34.6143,-58.3783
2018,Seguridad,Comuna 1,Camaras de Seguridad en Microcentro,305,-34.6153,-58.3773
2018,Seguridad,Comuna 1,camaras de seguridad,241,-34.6143,-58.3753
2018,Movilidad y transito,Comuna 1,Arreglo de veredas,109,-34.6103,-58.3753
2018,Movilidad y transito,Comuna 1,Control de taxis en la estacion retiro,184,-34.6113,-58.3733
2018,Seguridad,Comuna 1,Camaras de seguridad e iluminacion en San Telmo,333,-34.6163,-58.3793
2018,Movilidad y transito,Comuna 1,Arreglo de veredas en Esmeralda y Santa Fe,76,-34.6153,-58.3733
2018,Movilidad y transito,Comuna 1,Zona teatro San Martin,72,-34.6093,-58.3753
2018,Seguridad,Comuna 1,camaras de seguridad,192,-34.6123,-58.3793
2018,Seguridad,Comuna 1,Seguridad,209,-34.6163,-58.3743
2018,Seguridad,Comuna 1,Camaras de seguridad,201,-34.6143,-58.3763
2018,Movilidad y transito,Comuna 1,veredas,88,-34.6163,-58.3713
2018,Seguridad,Comuna 1,Camaras de seguridad en Constitucion,229,-34.6103,-58.3793
2018,Movilidad y transito,Comuna 1,Mas Seguridad,262,-34.6153,-58.3713
2018,Seguridad,Comuna 1,Camaras de seguridad,179,-34.6103,-58.3753
2018,Seguridad,Comuna 1,camaars de seguridad en el barrio de Constitucion,176,-34.6133,-58.3743
2018,Seguridad,Comuna 1,Camaras de seguridad en Montserrat,278,-34.6163,-58.3803
2018,Arte urbano,Comuna 1,Murales en la Plaza Monserrat,130,-34.6163,-58.3793
2018,Seguridad,Comuna 1,Seguridad,209,-34.6093,-58.3743
2018,Movilidad y transito,Comuna 1,Mantenimiento de rampa,103,-34.6093,-58.3743
2018,Movilidad y transito,Comuna 1,Semaforo para ciegos en la Estacion Constitucion,245,-34.6123,-58.3713
2019,Movilidad y transito,Comuna 1,iluminacion,131,-34.6083,-58.3743
2019,Seguridad,Comuna 1,Seguridad Constante,169,-34.6093,-58.3763
2019,seguridad,Comuna 1,Seguridad,134,-34.6163,-58.3733
2019,Plazas y parques,Comuna 1,iluminar la plaza congreso,106,-34.6073,-58.3743
2019,Innovacion,Comuna 1,Cargadores para celular,153,-34.6103,-58.3773
2019,Seguridad,Comuna 1,Camaras de seguridad en comuna 1,182,-34.6093,-58.3763
2017,Plazas y parques,Comuna 10,Plantacion de arboles,230,-34.6315,-58.5091
2017,Movilidad y transito,Comuna 10,Se?alizacion electronica paradas de colectivos,379,-34.6251,-58.49412994
2017,Movilidad y transito,Comuna 10,Bicicendas en la comuna 10,164,-34.6199,-58.50610599
2017,Plazas y parques,Comuna 10,Iluminacion en plaza san pedro,166,-34.6225,-58.50161497
2017,Mascotas,Comuna 10,Dispenser de eco bolsas para mascotas,254,-34.6186,-58.49862096
2017,Plazas y parques,Comuna 10,Mas iluminacion en la plaza dr juan b teran,199,-34.6186,-58.49562695
2017,Reciclado,Comuna 10,Contenedor es de reciclados,194,-34.6238,-58.50161497
2017,Deportes y calidad de vida,Comuna 10,Actividades en plazas y parques,363,-34.6264,-58.49862096
